divyanshjain@Divyanshs-MacBook-Air Orbitronix % python3 bayesian_optimisation_2.py
|   iter    |  target   |  allowed  | arg_pe... | inclin... |   raan    | semi_m... |
-------------------------------------------------------------------------------------
| 1         | 1.024e+03 | False     | 150.1     | 8.813     | 0.04117   | 6.792e+03 |
| 2         | 1.024e+03 | False     | 52.83     | -16.31    | 67.05     | 6.809e+03 |
| 3         | 1.024e+03 | False     | 142.8     | 1.553     | 150.9     | 6.945e+03 |
| 4         | 1.024e+03 | False     | 73.6      | 15.12     | 9.86      | 6.939e+03 |
| 5         | 1.024e+03 | False     | 150.2     | 2.348     | 50.54     | 6.75e+03  |
| 6         | 1.024e+03 | False     | 288.3     | 18.73     | 112.8     | 6.948e+03 |
| 7         | 1.024e+03 | False     | 315.5     | 15.78     | 30.62     | 6.687e+03 |
| 8         | 1.024e+03 | False     | 61.14     | 15.13     | 35.4      | 6.839e+03 |
| 9         | 1.024e+03 | False     | 344.8     | 1.327     | 249.1     | 6.797e+03 |
| 10        | 1.024e+03 | False     | 247.1     | 13.39     | 6.584     | 6.971e+03 |
| 11        | 1.024e+03 | False     | 356.0     | 9.927     | 101.0     | 6.987e+03 |
| 12        | 1.024e+03 | False     | 37.16     | -2.084    | 327.1     | 6.788e+03 |
| 13        | 1.024e+03 | False     | 103.6     | -14.8     | 6.972     | 6.943e+03 |
| 14        | 1.024e+03 | False     | 76.19     | -9.378    | 177.0     | 6.692e+03 |
| 15        | 1.024e+03 | False     | 206.7     | -14.13    | 212.1     | 6.951e+03 |
| 16        | 1.024e+03 | False     | 36.84     | -3.438    | 250.0     | 6.837e+03 |
| 17        | 1.024e+03 | False     | 17.98     | 1.436     | 239.0     | 6.877e+03 |
| 18        | 1.024e+03 | False     | 340.1     | 3.462     | 325.2     | 6.726e+03 |
| 19        | 1.024e+03 | False     | 50.14     | 12.3      | 143.2     | 6.737e+03 |
| 20        | 1.024e+03 | False     | 333.9     | -6.089    | 270.3     | 6.961e+03 |
| 21        | 1.024e+03 | False     | 318.0     | 4.947     | 270.3     | 6.811e+03 |
| 22        | 1.024e+03 | False     | 97.17     | 15.84     | 154.1     | 7.057e+03 |
| 23        | 1.024e+03 | False     | 238.8     | 4.868     | 41.31     | 7.051e+03 |
| 24        | 1.024e+03 | False     | 162.0     | 3.136     | 146.9     | 6.766e+03 |
| 25        | 1.024e+03 | False     | 325.2     | 2.947     | 1.033     | 6.918e+03 |
| 26        | 1.024e+03 | False     | 117.6     | 1.082     | 318.9     | 6.814e+03 |
| 27        | 1.024e+03 | False     | 327.1     | 4.934     | 5.696     | 7.043e+03 |
| 28        | 1.024e+03 | False     | 248.7     | 19.89     | 62.04     | 6.726e+03 |
| 29        | 1.024e+03 | False     | 335.7     | 7.873     | 23.76     | 6.973e+03 |
| 30        | 1.024e+03 | False     | 271.4     | 16.92     | 256.1     | 6.721e+03 |
| 31        | 1.024e+03 | False     | 7.157     | -18.95    | 10.19     | 6.769e+03 |
| 32        | 1.024e+03 | False     | 309.6     | 1.553     | 199.0     | 7.008e+03 |
| 33        | 1.024e+03 | False     | 44.7      | -8.833    | 210.9     | 7.059e+03 |
| 34        | 1.024e+03 | False     | 202.0     | -19.25    | 288.2     | 6.764e+03 |
| 35        | 1.024e+03 | False     | 290.6     | -4.486    | 310.9     | 6.97e+03  |
| 36        | 1.024e+03 | False     | 200.2     | -14.54    | 21.57     | 6.72e+03  |
| 37        | 1.024e+03 | False     | 16.04     | -15.7     | 81.26     | 6.956e+03 |
| 38        | 1.024e+03 | True      | 201.5     | -19.5     | 25.91     | 7.058e+03 |
| 39        | 1.024e+03 | False     | 204.5     | -11.87    | 90.84     | 6.969e+03 |
| 40        | 1.024e+03 | False     | 70.35     | 3.254     | 349.2     | 7.01e+03  |
| 41        | 1.024e+03 | False     | 86.35     | -0.2492   | 223.2     | 7.003e+03 |
| 42        | 1.024e+03 | False     | 56.44     | -19.26    | 25.21     | 6.866e+03 |
| 43        | 1.024e+03 | False     | 218.3     | 2.754     | 114.3     | 7.066e+03 |
| 44        | 1.024e+03 | False     | 208.7     | -4.794    | 198.3     | 6.969e+03 |
| 45        | 1.024e+03 | False     | 240.9     | -9.403    | 23.88     | 6.819e+03 |
| 46        | 1.024e+03 | False     | 226.7     | -11.59    | 271.0     | 6.698e+03 |
| 47        | 1.024e+03 | False     | 93.71     | 12.19     | 69.64     | 6.927e+03 |
| 48        | 1.024e+03 | True      | 188.9     | 16.99     | 94.79     | 6.697e+03 |
| 49        | 1.024e+03 | False     | 264.6     | 10.89     | 326.8     | 7.044e+03 |
| 50        | 1.024e+03 | False     | 5.023     | -10.63    | 222.0     | 7.051e+03 |
| 51        | 1.024e+03 | False     | 342.1     | 2.266     | 329.6     | 6.928e+03 |
| 52        | 1.024e+03 | False     | 140.4     | -0.5604   | 217.6     | 6.891e+03 |
| 53        | 1.024e+03 | False     | 333.4     | 16.75     | 142.2     | 7.056e+03 |
| 54        | 1.024e+03 | False     | 62.62     | -14.95    | 48.63     | 6.873e+03 |
| 55        | 1.024e+03 | True      | 7.749     | 17.92     | 297.8     | 6.677e+03 |
| 56        | 1.024e+03 | False     | 63.43     | -6.717    | 47.16     | 6.995e+03 |
| 57        | 1.024e+03 | False     | 124.1     | 17.6      | 209.5     | 7.023e+03 |
| 58        | 1.024e+03 | False     | 304.1     | 16.22     | 165.6     | 6.89e+03  |
| 59        | 1.024e+03 | False     | 287.5     | -8.571    | 176.5     | 6.911e+03 |
| 60        | 1.024e+03 | False     | 5.592     | 3.739     | 156.1     | 6.994e+03 |
| 61        | 1.024e+03 | False     | 113.5     | 15.72     | 208.0     | 6.745e+03 |
| 62        | 1.024e+03 | False     | 283.7     | 4.481     | 19.41     | 6.839e+03 |
| 63        | 1.024e+03 | False     | 244.5     | 16.74     | 0.1447    | 7.062e+03 |
| 64        | 1.024e+03 | False     | 135.6     | 18.95     | 217.7     | 7.003e+03 |
| 65        | 1.024e+03 | False     | 206.9     | 5.123     | 102.8     | 6.906e+03 |
| 66        | 1.024e+03 | False     | 270.0     | 14.33     | 271.8     | 6.95e+03  |
| 67        | 1.024e+03 | False     | 311.2     | -7.093    | 241.5     | 6.851e+03 |
| 68        | 1.024e+03 | False     | 137.6     | -3.568    | 144.5     | 6.798e+03 |
| 69        | 1.024e+03 | False     | 223.9     | -2.79     | 350.6     | 6.942e+03 |
| 70        | 1.024e+03 | False     | 71.49     | -2.932    | 123.6     | 6.99e+03  |
| 71        | 1.024e+03 | False     | 316.8     | 16.15     | 238.6     | 6.779e+03 |
| 72        | 1.024e+03 | False     | 90.85     | 14.2      | 190.0     | 6.992e+03 |
| 73        | 1.024e+03 | False     | 206.1     | 9.326     | 186.8     | 6.979e+03 |
| 74        | 1.024e+03 | False     | 204.8     | -1.372    | 123.4     | 6.698e+03 |
| 75        | 1.024e+03 | False     | 136.1     | -16.81    | 353.8     | 6.744e+03 |
| 76        | 1.024e+03 | False     | 292.3     | 15.0      | 247.8     | 6.899e+03 |
| 77        | 1.024e+03 | False     | 57.95     | -1.325    | 124.3     | 6.761e+03 |
| 78        | 1.024e+03 | False     | 213.3     | -7.509    | 329.9     | 7.035e+03 |
| 79        | 1.024e+03 | True      | 92.56     | -15.56    | 69.47     | 6.871e+03 |
| 80        | 1.024e+03 | False     | 262.3     | -11.67    | 89.29     | 7.012e+03 |
| 81        | 1.024e+03 | False     | 149.7     | 4.667     | 84.12     | 6.712e+03 |
| 82        | 1.024e+03 | False     | 185.7     | -0.9144   | 54.96     | 6.92e+03  |
| 83        | 1.024e+03 | False     | 195.8     | 6.165     | 52.04     | 6.972e+03 |
| 84        | 1.024e+03 | False     | 79.94     | 0.7741    | 282.7     | 6.68e+03  |
| 85        | 1.024e+03 | False     | 116.8     | 14.92     | 304.1     | 6.886e+03 |
| 86        | 1.024e+03 | False     | 312.0     | 17.99     | 297.5     | 7.013e+03 |
| 87        | 1.024e+03 | False     | 35.55     | 6.052     | 253.3     | 6.915e+03 |
| 88        | 1.024e+03 | False     | 287.9     | -18.62    | 277.3     | 6.964e+03 |
| 89        | 1.024e+03 | True      | 93.49     | -9.717    | 227.6     | 6.809e+03 |
| 90        | 1.024e+03 | False     | 286.8     | -2.154    | 281.8     | 7.067e+03 |
| 91        | 1.024e+03 | False     | 108.1     | -14.28    | 324.5     | 6.888e+03 |
| 92        | 1.024e+03 | False     | 350.9     | 5.464     | 357.8     | 6.889e+03 |
| 93        | 1.024e+03 | False     | 189.5     | -14.58    | 128.1     | 6.681e+03 |
| 94        | 1.024e+03 | False     | 57.74     | 9.825     | 10.94     | 6.818e+03 |
| 95        | 1.024e+03 | False     | 310.4     | 7.707     | 248.7     | 6.746e+03 |
| 96        | 1.024e+03 | False     | 159.1     | 3.263     | 356.3     | 6.753e+03 |
| 97        | 1.024e+03 | False     | 89.18     | -9.513    | 270.1     | 6.854e+03 |
| 98        | 1.024e+03 | False     | 20.49     | 0.3406    | 76.31     | 6.99e+03  |
| 99        | 1.024e+03 | False     | 107.0     | -18.9     | 213.6     | 7.009e+03 |
| 100       | 1.024e+03 | False     | 137.2     | 9.994     | 184.0     | 6.887e+03 |
| 101       | 1.024e+03 | False     | 345.4     | 12.16     | 11.64     | 6.955e+03 |
| 102       | 1.024e+03 | False     | 167.4     | 17.9      | 79.72     | 6.778e+03 |
| 103       | 1.024e+03 | True      | 29.33     | -2.855    | 39.25     | 6.925e+03 |
| 104       | 1.024e+03 | False     | 289.1     | 7.872     | 275.8     | 6.808e+03 |
| 105       | 1.024e+03 | False     | 304.5     | -2.849    | 296.6     | 6.922e+03 |
| 106       | 1.024e+03 | False     | 51.63     | -16.86    | 6.6       | 6.698e+03 |
| 107       | 1.024e+03 | True      | 165.1     | -15.47    | 10.0      | 6.973e+03 |
| 108       | 1.024e+03 | False     | 142.1     | 9.878     | 162.9     | 6.851e+03 |
| 109       | 1.024e+03 | False     | 172.1     | -1.04     | 289.1     | 6.832e+03 |
| 110       | 1.024e+03 | False     | 325.7     | -18.52    | 278.6     | 6.721e+03 |
| 111       | 1.024e+03 | True      | 222.7     | -19.59    | 193.9     | 6.672e+03 |
| 112       | 1.024e+03 | False     | 342.4     | 16.22     | 286.5     | 7.037e+03 |
| 113       | 1.024e+03 | False     | 52.4      | -13.69    | 67.55     | 6.92e+03  |
| 114       | 1.024e+03 | False     | 326.1     | 19.6      | 256.0     | 6.964e+03 |
| 115       | 1.024e+03 | False     | 327.3     | -3.965    | 89.95     | 6.74e+03  |
| 116       | 1.024e+03 | False     | 43.0      | 12.5      | 52.85     | 6.777e+03 |
| 117       | 1.024e+03 | False     | 294.9     | -7.577    | 353.7     | 6.778e+03 |
| 118       | 1.024e+03 | False     | 192.1     | -7.421    | 327.9     | 6.818e+03 |
| 119       | 1.024e+03 | False     | 156.1     | 0.4917    | 338.0     | 6.683e+03 |
| 120       | 1.024e+03 | False     | 258.1     | 15.64     | 9.823     | 6.88e+03  |
